bgrp,Day_Count,Day_Low,K12_Count,K12_Low
420034134003,0.0,-99999.0,0.0,-99999.0
420034135001,0.0,-99999.0,0.0,-99999.0
420034135002,0.0,-99999.0,0.0,-99999.0
420034135003,0.0,-99999.0,0.0,-99999.0
420034135004,3.0,0.0,4.0,1.0
420034141011,1.0,1.0,1.0,0.0
420034141012,0.0,-99999.0,2.0,1.0
420034141013,1.0,0.0,1.0,0.0
420034141014,0.0,-99999.0,0.0,-99999.0
420034141021,2.0,0.0,1.0,0.0
420034141022,2.0,0.0,1.0,0.0
420034141023,0.0,-99999.0,0.0,-99999.0
420034142001,2.0,0.0,2.0,0.0
420034142002,1.0,0.0,0.0,-99999.0
420034142003,3.0,0.0,2.0,0.0
420034150011,1.0,0.0,0.0,-99999.0
420034150012,0.0,-99999.0,2.0,0.0
420034150013,0.0,-99999.0,0.0,-99999.0
420034150021,0.0,-99999.0,1.0,0.0
420034150022,1.0,0.0,1.0,0.0
420034160001,0.0,-99999.0,0.0,-99999.0
420034160002,0.0,-99999.0,1.0,0.0
420034171001,0.0,-99999.0,1.0,0.0
420034171002,1.0,0.0,0.0,-99999.0
420034171003,0.0,-99999.0,0.0,-99999.0
420034172001,0.0,-99999.0,0.0,-99999.0
420034180001,1.0,0.0,1.0,0.0
420034190001,2.0,0.0,0.0,-99999.0
420034190002,0.0,-99999.0,1.0,0.0
420034190003,0.0,-99999.0,0.0,-99999.0
420034200001,2.0,0.0,0.0,-99999.0
420034211001,2.0,0.0,1.0,0.0
420034211002,0.0,-99999.0,0.0,-99999.0
420034211003,3.0,0.0,1.0,0.0
420034211004,0.0,-99999.0,0.0,-99999.0
420034212001,0.0,-99999.0,1.0,0.0
420034212002,1.0,0.0,0.0,-99999.0
420034212003,0.0,-99999.0,0.0,-99999.0
420034212004,0.0,-99999.0,0.0,-99999.0
420034220001,0.0,-99999.0,0.0,-99999.0
420034220002,0.0,-99999.0,0.0,-99999.0
420034220003,0.0,-99999.0,0.0,-99999.0
420034220004,0.0,-99999.0,0.0,-99999.0
420034230001,1.0,0.0,1.0,0.0
420034230002,1.0,0.0,1.0,0.0
420034230003,0.0,-99999.0,0.0,-99999.0
420034240001,0.0,-99999.0,0.0,-99999.0
420034240002,1.0,0.0,0.0,-99999.0
420034240003,0.0,-99999.0,0.0,-99999.0
420034240004,0.0,-99999.0,0.0,-99999.0
420034250001,0.0,-99999.0,0.0,-99999.0
420034250002,0.0,-99999.0,0.0,-99999.0
420034250003,0.0,-99999.0,0.0,-99999.0
420034250004,0.0,-99999.0,0.0,-99999.0
420034263001,0.0,-99999.0,0.0,-99999.0
420034263002,2.0,1.0,2.0,1.0
420034263003,0.0,-99999.0,0.0,-99999.0
420034264001,0.0,-99999.0,1.0,0.0
420034264002,1.0,0.0,0.0,-99999.0
420034264003,0.0,-99999.0,0.0,-99999.0
420034264004,0.0,-99999.0,1.0,0.0
420034267001,0.0,-99999.0,0.0,-99999.0
420034267002,0.0,-99999.0,1.0,0.0
420034268001,0.0,-99999.0,0.0,-99999.0
420034268002,1.0,0.0,1.0,0.0
420034268003,0.0,-99999.0,0.0,-99999.0
420034270001,0.0,-99999.0,1.0,0.0
420034270002,0.0,-99999.0,0.0,-99999.0
420034270003,0.0,-99999.0,1.0,0.0
420034271001,0.0,-99999.0,0.0,-99999.0
420034271002,0.0,-99999.0,0.0,-99999.0
420034271003,0.0,-99999.0,2.0,1.0
420034272001,0.0,-99999.0,0.0,-99999.0
420034272002,0.0,-99999.0,0.0,-99999.0
420034272003,1.0,0.0,0.0,-99999.0
420034272004,0.0,-99999.0,0.0,-99999.0
420034281001,0.0,-99999.0,1.0,0.0
420034281002,0.0,-99999.0,0.0,-99999.0
420034282001,0.0,-99999.0,0.0,-99999.0
420034282002,0.0,-99999.0,0.0,-99999.0
420034291001,0.0,-99999.0,0.0,-99999.0
420034291002,1.0,0.0,0.0,-99999.0
420034292011,1.0,0.0,0.0,-99999.0
420034292012,1.0,0.0,2.0,0.0
420034292021,0.0,-99999.0,0.0,-99999.0
420034292022,0.0,-99999.0,0.0,-99999.0
420034292023,2.0,0.0,3.0,0.0
420034293001,0.0,-99999.0,0.0,-99999.0
420034293002,1.0,0.0,0.0,-99999.0
420034293003,0.0,-99999.0,1.0,0.0
420034293004,0.0,-99999.0,0.0,-99999.0
420034294001,0.0,-99999.0,0.0,-99999.0
420034294002,1.0,0.0,1.0,0.0
420034294003,0.0,-99999.0,2.0,1.0
420034294004,0.0,-99999.0,0.0,-99999.0
420034295001,0.0,-99999.0,2.0,0.0
420034295002,0.0,-99999.0,1.0,0.0
420034295003,1.0,0.0,0.0,-99999.0
420034296001,1.0,0.0,1.0,0.0
420034296002,0.0,-99999.0,0.0,-99999.0
420034297001,0.0,-99999.0,0.0,-99999.0
420034297002,0.0,-99999.0,1.0,0.0
420034301001,0.0,-99999.0,0.0,-99999.0
420034301002,0.0,-99999.0,0.0,-99999.0
420034302001,1.0,0.0,0.0,-99999.0
