bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
420031702003,1202,32,1234,99.5999984741,0.0,100.0
420031702004,1049,0,1049,100.0,5.36000013351,94.6399993896
420031706001,164,132,296,90.8000030518,64.7600021362,35.2400016785
420031706002,449,231,680,98.8399963379,58.8800010681,41.1199989319
420031706003,548,70,618,99.8399963379,28.2800006866,71.7200012207
420031803001,873,193,1066,97.4400024414,64.5,35.5
420031803002,666,0,666,100.0,9.80000019073,90.1999969482
420031803003,634,3,637,86.5500030518,12.9499998093,87.0500030518
420031807001,390,191,581,93.7099990845,35.3300018311,64.6699981689
420031807002,407,242,649,94.1900024414,61.0999984741,38.9000015259
420031807003,691,9,700,99.7200012207,17.8299999237,82.1699981689
420031903001,1161,47,1208,98.2099990845,56.8400001526,43.1599998474
420031903002,573,113,686,96.3499984741,55.25,44.75
420031911001,379,341,720,75.5500030518,58.7900009155,41.2099990845
420031911002,331,278,609,41.9399986267,58.7299995422,41.2700004578
420031914001,532,192,724,53.3899993896,98.5500030518,1.45000004768
420031914002,167,558,725,52.4199981689,79.0199966431,20.9799995422
420031915001,360,312,672,99.4100036621,50.6899986267,49.3100013733
420031915002,483,288,771,56.4000015259,0.0,0.0
420031916001,117,226,343,41.8800010681,71.6299972534,28.3700008392
420031916002,159,200,359,45.7900009155,61.3699989319,38.6300010681
420031916003,90,90,180,25.0,66.1299972534,33.8699989319
420031916004,0,0,0,0.0,0.0,0.0
420031916005,172,264,436,39.8199996948,48.6399993896,51.3600006104
420031917001,517,27,544,25.8600006104,0.0,100.0
420031917002,67,12,79,13.7899999619,0.0,0.0
420031917003,707,23,730,94.6800003052,5.69000005722,94.3099975586
420031918001,653,0,653,97.9000015259,0.0,100.0
420031918002,84,30,114,16.6200008392,0.0,0.0
420031918003,355,119,474,67.0400009155,50.3199996948,49.6800003052
420031918004,577,144,721,95.75,17.8899993896,82.1100006104
420031918005,132,179,311,45.1399993896,35.1199989319,64.8799972534
420031918006,27,271,298,30.9099998474,100.0,0.0
420031918007,510,57,567,66.2399978638,13.0500001907,86.9499969482
420031919001,580,0,580,75.7200012207,24.2199993134,75.7799987793
420031919002,727,0,727,87.9100036621,0.0,100.0
420031919003,548,42,590,100.0,24.7199993134,75.2799987793
420031920001,358,29,387,52.7999992371,4.90000009537,95.0999984741
420031920002,437,5,442,66.1699981689,4.82000017166,95.1800003052
420031920003,203,14,217,30.0100002289,29.3899993896,70.6100006104
420031920004,242,0,242,27.1599998474,0.0,100.0
420031920005,52,0,52,7.82999992371,0.0,0.0
420032022001,150,184,334,25.0200004578,45.7799987793,54.2200012207
420032022002,0,0,0,0.0,0.0,0.0
420032022003,0,0,0,0.0,0.0,0.0
420032023001,145,536,681,85.9800033569,70.25,29.75
420032023002,581,85,666,63.9199981689,19.8299999237,80.1699981689
420032023003,645,266,911,94.6999969482,32.3100013733,67.6900024414
420032023004,332,257,589,43.6899986267,76.7399978638,23.2600002289
420032107001,800,69,869,65.0400009155,10.4399995804,89.5599975586
420032107002,485,55,540,68.0100021362,9.25,90.75
420032206001,1304,58,1362,100.0,5.71000003815,94.2900009155
420032206002,468,0,468,100.0,1.42999994755,98.5699996948
420032406001,566,894,1460,95.6699981689,22.5499992371,77.4499969482
420032406002,825,339,1164,97.9800033569,45.8699989319,54.1300010681
420032412001,369,4,373,100.0,56.7799987793,43.2200012207
420032412002,442,68,510,100.0,30.3099994659,69.6900024414
420032503001,967,32,999,91.6500015259,21.0599994659,78.9400024414
420032507001,467,181,648,86.0599975586,51.0499992371,48.9500007629
420032509001,184,388,572,81.7099990845,87.4700012207,12.529999733
420032509002,358,144,502,88.8499984741,25.7999992371,74.1999969482
420032602001,536,83,619,90.5,36.8800010681,63.1199989319
420032602002,743,209,952,93.0599975586,42.3400001526,57.6599998474
420032602003,495,75,570,99.8199996948,29.0300006866,70.9700012207
420032607001,689,22,711,95.4400024414,67.4700012207,32.5299987793
420032607002,755,242,997,100.0,43.8699989319,56.1300010681
420032609001,357,480,837,68.9499969482,50.7400016785,49.2599983215
420032612001,864,91,955,90.8700027466,50.0800018311,49.9199981689
420032614001,295,107,402,60.7299995422,13.1800003052,86.8199996948
420032614002,223,165,388,74.6200027466,56.4700012207,43.5299987793
420032614003,430,178,608,98.0599975586,31.1900005341,68.8099975586
420032614004,428,175,603,94.6600036621,63.6300010681,36.3699989319
420032615001,647,154,801,99.8799972534,54.2000007629,45.7999992371
420032615002,652,209,861,100.0,54.5600013733,45.4399986267
420032620001,342,299,641,52.9799995422,91.75,8.25
420032620002,0,0,0,0.0,0.0,0.0
420032620003,176,124,300,43.8600006104,58.0999984741,41.9000015259
420032701001,1334,171,1505,98.9499969482,28.6800003052,71.3199996948
420032701002,725,388,1113,98.6699981689,59.0699996948,40.9300003052
420032703001,679,282,961,83.2799987793,56.1599998474,43.8400001526
420032703002,262,497,759,95.7099990845,92.1200027466,7.88000011444
420032704001,936,35,971,89.9899978638,28.4599990845,71.5400009155
420032708001,304,240,544,69.9199981689,45.5699996948,54.4300003052
420032708002,760,179,939,94.6600036621,57.0200004578,42.9799995422
420032708003,476,259,735,83.4300003052,36.5400009155,63.4599990845
420032715001,623,58,681,84.1800003052,44.6699981689,55.3300018311
420032715002,973,102,1075,85.0500030518,17.2099990845,82.7900009155
420032715003,695,172,867,79.25,39.8600006104,60.1399993896
420032814001,221,73,294,35.8499984741,24.6200008392,75.3799972534
420032814002,740,247,987,64.6399993896,33.0900001526,66.9100036621
420032815001,318,185,503,100.0,55.2200012207,44.7799987793
420032815002,664,273,937,97.7099990845,66.5999984741,33.4000015259
420032901001,565,71,636,96.5100021362,48.5800018311,51.4199981689
420032901002,649,63,712,95.6999969482,8.73999977112,91.2600021362
420032901003,526,19,545,76.0100021362,0.0,100.0
420032902001,148,336,484,53.6599998474,98.3899993896,1.61000001431
420032902002,683,137,820,99.7600021362,42.75,57.25
420032902003,527,56,583,90.25,8.77000045776,91.2300033569
420032902004,446,153,599,85.6900024414,19.9699993134,80.0299987793
420032902005,512,142,654,74.7399978638,27.2000007629,72.8000030518
420032904001,301,70,371,64.0800018311,17.8700008392,82.1299972534
420032904002,1021,170,1191,94.75,40.7599983215,59.2400016785
420032904003,587,110,697,98.7300033569,45.5699996948,54.4300003052
420032904004,146,286,432,49.7700004578,64.5199966431,35.4799995422
420032904005,542,9,551,86.2300033569,9.18000030518,90.8199996948
420033001001,145,67,212,52.6100006104,7.36999988556,92.6299972534
420033001002,173,19,192,38.0999984741,0.0,0.0
420033001003,306,0,306,37.6399993896,0.0,100.0
420033001004,329,42,371,51.5299987793,0.0,100.0
420033001005,301,46,347,54.2999992371,19.5799999237,80.4199981689
420033001006,395,51,446,66.7699966431,20.6700000763,79.3300018311
420033102001,357,75,432,65.2600021362,31.3899993896,68.6100006104
420033102002,499,94,593,90.5299987793,24.6399993896,75.3600006104
420033102003,374,44,418,76.6999969482,14.220000267,85.7799987793
420033102004,333,200,533,74.0299987793,71.5,28.5
420033102005,116,33,149,23.1000003815,18.4300003052,81.5699996948
