bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
420034040001,317,1183,21.1299991608,78.8700027466
420034050002,7,466,1.48000001907,98.5199966431
420034070012,0,1290,0.0,100.0
420034070013,11,1654,0.660000026226,99.3399963379
420034070014,25,1494,1.64999997616,98.3499984741
420034070021,21,1366,1.50999999046,98.4899978638
420034070022,0,1582,0.0,100.0
420034070023,270,561,32.4900016785,67.5100021362
420034070024,0,2797,0.0,100.0
420034080011,127,1059,10.7100000381,89.2900009155
420034080012,96,2029,4.51999998093,95.4800033569
420034080013,0,1458,0.0,100.0
420034080021,0,3812,0.0,100.0
420034080022,0,2519,0.0,100.0
420034090001,77,3664,2.05999994278,97.9400024414
420034090002,135,2104,6.03000020981,93.9700012207
420034090003,128,3092,3.98000001907,96.0199966431
420034090004,0,2297,0.0,100.0
420034100001,0,1171,0.0,100.0
420034110001,68,1023,6.23000001907,93.7699966431
420034110002,0,2626,0.0,100.0
420034110003,12,3186,0.379999995232,99.6200027466
420034120011,0,2668,0.0,100.0
420034120012,29,1767,1.61000001431,98.3899993896
420034120013,0,1708,0.0,100.0
420034120014,0,2433,0.0,100.0
420034120021,159,2770,5.42999982834,94.5699996948
420034120022,580,1356,29.9599990845,70.0400009155
420034131001,249,1038,19.3500003815,80.6500015259
420034131002,33,1964,1.64999997616,98.3499984741
420034131003,164,1264,11.4799995422,88.5199966431
420034131004,33,1864,1.74000000954,98.2600021362
420034132011,0,788,0.0,100.0
420034132012,0,1316,0.0,100.0
420034132013,0,1633,0.0,100.0
420034132021,122,970,11.1700000763,88.8300018311
420034132022,35,1739,1.97000002861,98.0299987793
420034133001,0,1683,0.0,100.0
420034133002,76,2291,3.21000003815,96.7900009155
420034133003,3,689,0.430000007153,99.5699996948
420034134001,0,1548,0.0,100.0
420034134002,0,1199,0.0,100.0
420034134003,0,1592,0.0,100.0
420034135001,154,718,17.6599998474,82.3399963379
420034135002,93,2024,4.38999986649,95.6100006104
420034135003,80,1294,5.82000017166,94.1800003052
420034135004,227,1574,12.6000003815,87.4000015259
420034141011,0,2136,0.0,100.0
420034141012,224,987,18.5,81.5
420034141013,8,817,0.97000002861,99.0299987793
420034141014,0,1186,0.0,100.0
420034141021,0,2647,0.0,100.0
420034141022,0,2489,0.0,100.0
420034141023,159,1745,8.35000038147,91.6500015259
